n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.06,99632340000000.0,0.05826119732903459,0.0017388026709654048,0.021233062414384964,0.563382623046203,1.7206170584725206e-11,9.249306846616358e-11,9.641202830813806e-13,17.846497876523614,0.010423703084670409,0.029844952570153734,0.8125588373324037,0.9113088875218708,27.794936403652326,395.36989999055635,144.914968034579
0.06108216432865731,101429316072144.28,0.05928985408422937,0.0017923102444279445,0.02421806465032631,0.5717292564775857,1.6947388293970078e-11,8.183958436082102e-11,9.61272871417352e-13,17.63015351612071,0.01174581810165621,0.030229628190376754,0.8098553419178546,0.9098101966292048,27.355514373472865,384.9353344806904,144.63851008973654
0.062164328657314624,103226292144288.56,0.060318049012509596,0.0018462796448050307,0.027339065373794703,0.5799649451200978,1.669785297475686e-11,7.315606399291441e-11,9.586149202646068e-13,17.41872844014127,0.013103697327913298,0.03060907431575122,0.8071704865660959,0.9083155280016086,26.9239022245565,375.0150630955042,144.36379290052534
0.06324649298597194,105023268216432.86,0.06134579354763076,0.0019006994383411826,0.030586673852670502,0.5880903898653692,1.645707507654839e-11,6.597579155616898e-11,9.561377716412605e-13,17.212033207619193,0.014492251613642945,0.03098337030827421,0.8045040619807775,0.9068248884620848,26.499773024915235,365.57449559807156,144.090798920612
0.06432865731462925,106820244288577.14,0.062373098840144595,0.0019555584744846595,0.03395193691670496,0.5961063257275127,1.622459894342682e-11,5.996369913357018e-11,9.538333268568744e-13,17.009888925658572,0.015906845985805412,0.03135259448142125,0.8018558623777486,0.9053382840721897,26.082820778323864,356.5819414312982,143.81951087385156
0.06541082164328657,108617220360721.44,0.06339997576552846,0.0020108458777581134,0.03742632068821683,0.6040135184320963,1.5999999938516476e-11,5.487400223956886e-11,9.516940018956244e-13,16.812126488815732,0.017343258429387377,0.03171682407568744,0.7992256854024751,0.9038557201593325,25.672758713841507,348.0083211252175,143.54991174815365
0.06649298597194389,110414196432865.72,0.06442643493206905,0.0020665510398748337,0.0410016930391121,0.611812761275521,1.5782881855540033e-11,5.052296692607744e-11,9.497126870257387e-13,16.618585885135484,0.01879764283074089,0.03207613523942146,0.7966133320499577,0.9023772013431586,25.269317741800542,339.82691075862004,143.2819847895414
0.0675751503006012,112211172505010.0,0.06545248668850537,0.002122663612095833,0.04467030674034838,0.6195048722321628,1.5572874584676417e-11,4.677092323330039e-11,9.47882710173712e-13,16.42911556201134,0.02026649560551821,0.032430603014333,0.7940186065870635,0.9009027315610411,24.87224505761949,332.0131152124071,143.0157134963963
0.06865731462925852,114008148577154.31,0.0664781411314359,0.002179173497822618,0.04842478327303888,0.62709069128873,1.5369632004103102e-11,4.3510097670121366e-11,9.461978036586945e-13,16.24357184583692,0.0217466255955673,0.032780301325124446,0.79144131647719,0.8994323140927069,24.481302877145755,324.5442665609869,142.75108161388027
0.06973947895791582,115805124649298.6,0.06750340811249572,0.0022360708454201004,0.052258097272997656,0.6345710779871695,1.5172830072221355e-11,4.0656204682311345e-11,9.446520739315102e-13,16.06181841010961,0.023235126872098527,0.03312530297275725,0.7888812723071787,0.8979659515840223,24.096267289256918,317.3994444618016,142.48807312852915
0.07082164328657314,117602100721442.88,0.06852829724530908,0.0022933460412640615,0.05616356158271516,0.6419469091591581,1.4982165098673156e-11,3.814252362305597e-11,9.432399740052577e-13,15.883725787250874,0.02472935412787156,0.03346567963092132,0.7863382877164029,0.8965036460699666,23.716927213193536,310.55931583776686,142.22667226301002
0.07190380761523046,119399076793587.17,0.06955281790806662,0.0023509897071638404,0.06013481287038749,0.6492190773557575,1.4797352161860605e-11,3.591565396109864e-11,9.41956278111576e-13,15.709170909212665,0.02622690036862027,0.03380150190710212,0.7838121793339753,0.8950453989889567,23.343083450911358,304.00599102972467,141.9668634707056
0.07298597194388777,121196052865731.45,0.07057697926503394,0.002408992678853832,0.06416579788414759,0.6563884870339962,1.4618123730060706e-11,3.3932425239081806e-11,9.407960594157173e-13,15.53803673363525,0.0277255767245352,0.034132839120352136,0.7813027666901784,0.8935912112326331,22.97454781738406,297.72289715504223,141.70863143196885
0.07406813627254509,122993028937875.75,0.07160079025232818,0.0024673460202169124,0.06825076010816518,0.6634560553767815,1.4444228296374104e-11,3.2157615490539385e-11,9.39754668018577e-13,15.370211809459798,0.029223394013621697,0.034459759613291195,0.7788098721815186,0.8921410831276387,22.611142357592183,291.6946603823933,141.45196104771082
0.0751503006012024,124790005010020.02,0.07262425959664934,0.002526041004553063,0.0723842270663767,0.6704227090492174,1.427542923547417e-11,3.056224440084391e-11,9.388277122941597e-13,15.205589959195088,0.03071854605901378,0.03478233056808481,0.7763333209893831,0.8906950144795035,22.252698620799503,285.9070038741828,141.19683743574888
0.07623246492985972,126586981082164.31,0.07364739581826926,0.0025850691115904528,0.07656099806684112,0.6772893830579516,1.4111503712885147e-11,2.912228115156539e-11,9.380110410755124e-13,15.04406994687937,0.032209394456213195,0.03510061805809555,0.773872941023181,0.8892530045863646,21.899057000888753,280.3466541549601,140.94324592606296
0.07731462925851704,128383957154308.62,0.07467020723676043,0.0026444220217566074,0.08077613243978496,0.6840570193541466,1.3952241696591665e-11,2.78176553371104e-11,9.373007274220217e-13,14.885555178183104,0.03369445469300955,0.03541468705680447,0.7714285628609692,0.8878150522575747,21.550066130889224,275.0012570011216,140.69117205641226
0.07839679358717434,130180933226452.9,0.075692701976542,0.0027040916106323416,0.0850249382407644,0.6907265655443557,1.3797445052276023e-11,2.663149212439307e-11,9.3669305369137e-13,14.729953422737912,0.035172383481788,0.03572460144797539,0.7690000196917723,0.8863811558316678,21.20558232731582,269.85930147591444,140.44060156807663
0.07947895791583166,131977909298597.19,0.07671488797224897,0.002764069943582689,0.08930296140233203,0.6972989737010626,1.3646926714058344e-11,2.5549515205466197e-11,9.361844977950137e-13,14.577176556758651,0.036641967186708944,0.0360304240368906,0.7665871472595414,0.8849513131937026,20.86546907958213,264.9100512186612,140.19152040171838
0.08056112224448897,133774885370741.45,0.0777367729739299,0.0028243492705590707,0.09360597531822773,0.7037751992653273,1.3500509923503239e-11,2.4559576623162697e-11,9.35771720528744e-13,14.427140324218149,0.038102111241046246,0.03633221656250453,0.7641897838086914,0.883525521792006,20.52959658025922,260.1434822054393,139.94391469336009
0.08164328657314629,135571861442885.77,0.07875836455207913,0.0028849220210671587,0.09792997084469154,0.7101562000345871,1.335802753043709e-11,2.3651283467106415e-11,9.3545155388117e-13,14.279764115004031,0.03955183046121668,0.036630039710378925,0.7618077700311677,0.8821037786543399,20.197841292399435,255.55022629231541,139.6977707704738
0.08272545090180361,137368837515030.06,0.07977967010250868,0.0029457807992949348,0.10227114670402282,0.7164429352292454,1.3219321349807616e-11,2.2815699207046096e-11,9.352209902328475e-13,14.13497075863997,0.040990240173924906,0.036923953126277775,0.7594409490149839,0.8806860804035084,19.87008555054018,251.12151993375437,139.45307514817793
0.08380761523046093,139165813587174.34,0.08080069685106527,0.0030069183793956632,0.10662590027600286,0.7226363646321741,1.3084241569423268e-11,2.2045103023690935e-11,9.350771723676414e-13,13.992686332288066,0.04241654808157411,0.03721401543031396,0.757089166194185,0.8792724232724266,19.546217192351875,246.8491575397519,139.20981452553792
0.08488977955911824,140962789659318.62,0.08182145185819771,0.003068327700920525,0.11099081876325735,0.7287374477957317,1.295264620394596e-11,2.133279456711321e-11,9.35017384225686e-13,13.852839981870934,0.0438300467987966,0.03750028423155032,0.754752269300185,0.8778628031186712,19.226129218203507,242.72544899708916,138.96797578196723
0.08597194388777554,142759765731462.9,0.0828419420233796,0.003130001864395939,0.11536267071706552,0.7347471433113333,1.2824400590984138e-11,2.0672934564114484e-11,9.350390423342807e-13,13.715363755259492,0.04523010699977672,0.037782816142970084,0.752430108314435,0.8764572154385292,18.909719476193743,238.74318093410724,138.72754597372426
0.08705410821643286,144556741803607.2,0.0838621740893923,0.0031919341270405673,0.1197383979105455,0.740666408136978,1.269937692555367e-11,2.0060413915379775e-11,9.351396878592347e-13,13.580192446569853,0.04661617112208679,0.03806166679673899,0.7501225354223735,0.8750556553805656,18.59689037043892,234.8955813556817,138.48851233050328
0.08813627254509018,146353717875751.5,0.08488215464647282,0.0032541178986173636,0.12411510754652864,0.7464961969785233,1.2577453829546579e-11,1.9490745584632224e-11,9.353169792247108e-13,13.447263450698923,0.047987747578121166,0.038336890859692434,0.7478294049686188,0.8736581177587229,18.287548590625956,231.17628731648838,138.25086225211464
0.0892184368737475,148150693947895.78,0.08590189013633157,0.003316546737415931,0.12849006478782882,0.752237461720795,1.2458515953179622e-11,1.8959974836090672e-11,9.355686852545161e-13,13.316516627307116,0.049344405429992626,0.03860854204898598,0.7455505734133613,0.8722645970649745,17.981604861031382,227.57931533704948,138.0145833052523
0.09030060120240481,149947670020040.06,0.08692138685604399,0.003379214346360816,0.1328606855979721,0.7578911509049406,1.2342453605689596e-11,1.8464604330682386e-11,9.358926787922284e-13,13.187894173525923,0.05068576948800728,0.03887667314785655,0.743285899289915,0.8708750874815433,17.67897370737992,224.09903429903417,137.77966322034501
0.09138276553106212,151744646092184.34,0.08794065096182076,0.0034421145692413585,0.13722452988082032,0.763458209248698,1.2229162412805884e-11,1.8001531322838852e-11,9.362869307614746e-13,13.061340504731819,0.05201151579663622,0.039141336021446385,0.7410352431633912,0.8694895828927042,17.379573240069746,220.7301405844887,137.54608988848875
0.09246492985971944,153541622164328.62,0.08895968847266053,0.0035052413870589032,0.14157929490786378,0.7689395772064989,1.2118542998765725e-11,1.756799476429948e-11,9.367495046312168e-13,12.936802142784801,0.05332136747529191,0.039402581632647565,0.7387984675904564,0.8681080768961839,17.08332495242939,217.46763524854325,137.31385135845747
0.09354709418837676,155338598236472.94,0.08997850527388937,0.0035685889144873905,0.14592280902230376,0.7743361905665732,1.2010500690847945e-11,1.716153056012253e-11,9.372785512540926e-13,12.814227611181026,0.05461509088425972,0.039660460057930634,0.7365754370801407,0.8667305628141723,16.790153532794687,214.3068030371263,137.08293583378963
0.09462925851703408,157135574308617.25,0.09099710712059074,0.003632151396443337,0.150253025609382,0.7796489800824092,1.1904945244589367e-11,1.677993356527473e-11,9.378723040487026e-13,12.693567336615963,0.055892492088859304,0.03991502050312386,0.7343660180556595,0.8653570337039609,16.499986689304553,211.24319308068553,136.8533316699481
0.09571142284569138,158932550380761.5,0.09201549964092988,0.003695923204761499,0.154568017322738,0.7848788711361425,1.1801790588016777e-11,1.642122518020071e-11,9.385290744993175e-13,12.574773556496101,0.05715341359735536,0.040166311319114946,0.7321700788172201,0.8639874823682202,16.212754986414076,208.27260111215568,136.62502737155046
0.09679358717434869,160729526452905.78,0.09303368833937617,0.0037598988349725245,0.158865970556899,0.7900267834316067,1.1700954583379044e-11,1.6083625617476136e-11,9.392472479487927e-13,12.457800231975739,0.05839773135033845,0.040414380017449666,0.7299874895057769,0.8626219013649289,15.9283916922127,205.39105307273613,136.3980115896689
0.09787575150300601,162526502525050.1,0.09405167859982688,0.003824072903179125,0.1631451801563194,0.7950936307149549,1.1602358805000217e-11,1.5765530081707478e-11,9.400252796625831e-13,12.342602966129611,0.059625351941276064,0.0406592732858057,0.7278181220677089,0.8612602830169679,15.646832635715798,202.59478998264768,136.17227311919515
0.09895791583166333,164323478597194.38,0.09506947568863604,0.0038884401430272927,0.16740404435170464,0.80008032052091,1.1505928331997168e-11,1.546548824087933e-11,9.408616911436147e-13,12.229138926904064,0.060836210049720334,0.04090103700332167,0.7256618502203874,0.8599026194213915,15.368016073370484,199.88025396616712,135.94780089627096
0.10004008016032065,166120454669338.66,0.09608708475755122,0.0039529954027694245,0.1716410599146417,0.8049877539428428,1.1411591554715694e-11,1.5182186476722273e-11,9.417550666795213e-13,12.117366774517235,0.06203026607026892,0.041139716255766304,0.7235185494186082,0.8585489024583863,15.091882564082171,197.2440753310276,135.7245839957798
0.10112224448897796,167917430741482.94,0.0971045108465619,0.004017733642416055,0.17585481752187587,0.8098168254250037,1.1319279993839009e-11,1.4914432490026085e-11,9.427040501052593e-13,12.007246593005657,0.06320750392183447,0.04137535535053167,0.7213880968218577,0.8571991237999297,14.818374852127665,194.68306061193417,135.5026116288994
0.10220440881763528,169714406813627.25,0.09812175888666205,0.00408264993097323,0.18004399732084495,0.8145684225753482,1.1228928131212437e-11,1.4661141908526866e-11,9.437073417655662e-13,11.898739825637495,0.06436792902309399,0.04160799783143915,0.7192703712623912,0.8558532749181573,14.547437757373954,192.19418149654763,135.28187314071258
0.10328657314629258,171511382885771.53,0.09913883370252997,0.004147739443762607,0.18420736468838422,0.8192434259975292,1.1140473251509566e-11,1.4421326603441251e-11,9.44763695662952e-13,11.791809213934881,0.06551156642118557,0.041837686493347945,0.7171652532140963,0.8545113470934508,14.279018072270448,189.77456456000849,135.0623580078743
0.1043687374749499,173308358957915.8,0.1001557400151285,0.004212997459821392,0.1883437661747822,0.8238427091406942,1.1053855293939043e-11,1.4194084468563531e-11,9.45871916778113e-13,11.686418740067221,0.06663845906180077,0.0420644633965564,0.7150726247621134,0.8531733314222572,14.013064465126883,187.42148174098588,134.8440558363343
0.10545090180360722,175105335030060.12,0.10117248244422776,0.00427841935937946,0.19245212562564845,0.8283671381658558,1.0969016713257816e-11,1.3978590455160388e-11,9.470308585506976e-13,11.582533572395318,0.06774866618980802,0.04228836988098989,0.7129923695731989,0.8518392188246454,13.749527389228218,185.13234149842967,134.6269563591119
0.10653306613226453,176902311102204.4,0.10218906551085359,0.004344000621410942,0.19653144047431703,0.8328175718276624,1.0885902349417462e-11,1.3774088688340464e-11,9.482394205092963e-13,11.480120013963013,0.06884226187043249,0.04250944658016822,0.710924372866799,0.8505090000516128,13.488358997375126,182.90468059377832,134.41104943412327
0.10761523046092185,178699287174348.7,0.10320549363966396,0.004409736821257897,0.20058077819777143,0.8371948613705018,1.0804459305225025e-11,1.3579885517443254e-11,9.494965460404308e-13,11.37914545374761,0.0699193336218343,0.0427277334349491,0.7088685213868192,0.8491826656921484,13.229513061470833,180.73615644837247,134.19632504205836
0.10869739478957915,180496263246492.97,0.1042217711612557,0.004475623628323466,0.20459927292933153,0.8414998504379204,1.0724636831450196e-11,1.3395343375322356e-11,9.508012202870935e-13,11.279578320494691,0.07097998115066705,0.042943269707042486,0.7068247033740654,0.8478602061800637,12.972944896805894,178.62454003034117,133.98277328430612
0.10977955911823647,182293239318637.25,0.10523790231440423,0.0045416568038322445,0.20858612222158798,0.8457333749944256,1.0646386218855929e-11,1.3219875340023122e-11,9.521524681681228e-13,11.181388038975374,0.07202431518287354,0.04315609399229363,0.7047928085393373,0.8465416118005947,12.71861129071925,176.56770922928175,133.7703843809272
0.1108617234468938,184090215390781.56,0.1062538912482381,0.004607832198655693,0.21254058395331374,0.8498962632588091,1.0569660696671073e-11,1.3052940307939844e-11,9.5354935251037e-13,11.084544988515555,0.07305245638259333,0.043366244233733885,0.7027727280371553,0.8452268726967879,12.46647043533938,174.56364268071675,133.55914866867212
0.1119438877755511,185887191462925.84,0.10726974202435091,0.004674145751200197,0.21646197337431558,0.8539893356481565,1.0494415337061763e-11,1.2894038700621832e-11,9.549909722862116e-13,10.989020463657932,0.07406453435261955,0.04357375773439574,0.7007643544401004,0.843915978875676,12.216481864131987,172.6104140056295,133.3490565990439
0.11302605210420842,187684167535070.12,0.1082854586188525,0.004740593485355925,0.22034966028241523,0.8580134047318126,1.0420606965192293e-11,1.2742708638416493e-11,9.564764609495315e-13,10.894786636826744,0.07506068671035632,0.04377867116989416,0.6987675817137525,0.8426089202142482,11.968606392001666,170.70618643335914,133.1400987364038
0.11410821643286573,189481143607214.4,0.10930104492436149,0.004807171508504231,0.2242030663269749,0.8619692751945693,1.0348194074498259e-11,1.2598522523443808e-11,9.580049848637954e-13,10.801816522874896,0.07604105823370189,0.04398102060077184,0.6967823051922049,0.8413056864652271,11.722806058713651,168.84920777885412,132.93226575611885
0.11519038076152305,191278119679358.72,0.11031650475194117,0.004873876009581879,0.2280216624335919,0.8658577438084426,1.0277136746823107e-11,1.24610839822809e-11,9.595757418163145e-13,10.710083945400939,0.07700580007171029,0.044180841484611266,0.6948084215541425,0.8400062672626532,11.479044075420054,167.03780574772583,132.72554844274998
0.11627254509018037,193075095751503.0,0.11133184183298038,0.004940703257199984,0.2318049663448008,0.8696795994124021,1.0207396577096022e-11,1.2330025125431892e-11,9.611879596132268e-13,10.619563504731566,0.07795506901528383,0.04437816868791238,0.6928458287994658,0.8387106521272883,11.237284774090119,165.27038354477742,132.51993768827987
0.11735470941883769,194872071823647.28,0.11234705982102158,0.0050076495978161,0.23555254027182032,0.8734356228994984,1.0138936602252823e-11,1.2205004086362902e-11,9.628408947501158e-13,10.530230547471877,0.07888902682350865,0.04457303649773934,0.690894426226444,0.8374188304718423,10.997493559659354,163.54541576369058,132.315424490379
0.118436873747495,196669047895791.56,0.11336216229353753,0.005074711453957461,0.23926398865257714,0.8771265872108349,1.0071721234124099e-11,1.2085702807753508e-11,9.645338311535471e-13,10.442061137532821,0.07980783960157918,0.0447654786331361,0.6889541144093844,0.8361307916060269,10.759636864725454,161.86144453739914,132.1119999507091
