n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.06,99632340000000.0,0.05841659788074537,0.0015834021192546244,0.021674820206641104,0.5380471357315798,1.8030748787380656e-11,7.187377065512508e-11,9.097807214017918e-13,19.818785299823507,0.012658035234678736,0.02710534636897312,49.99372947565803,426.25492367488204,98.22272375849995
0.06108216432865731,101429316072144.28,0.059447500072169056,0.0016346642564882576,0.024687909399050616,0.5465920231944319,1.7745779885920436e-11,6.344305755496455e-11,9.054283275061547e-13,19.599320395462012,0.014271511531765748,0.02749761141349562,49.524103472512174,414.5598597881558,97.9162379143505
0.062164328657314624,103226292144288.56,0.0604779079624139,0.0016864206949007195,0.02783603486119392,0.5550295260930954,1.7471347913324627e-11,5.6566447124318986e-11,9.012834193024761e-13,19.384965416146347,0.01593318062422551,0.027884904615893862,49.06028690184751,403.46735917798844,97.60951749121551
0.06324649298597194,105023268216432.86,0.06150783464460531,0.001738658341366636,0.031109805294482772,0.5633598582973914,1.720688472967902e-11,5.0877265264028744e-11,8.973360503942077e-13,19.175519274100136,0.017637269726221753,0.028267266298881637,48.60197179017816,392.93555803014056,97.3025624578959
0.06432865731462925,106820244288577.14,0.06253729295700995,0.0017913643576193041,0.0345002704446913,0.5715832972589442,1.6951862033612593e-11,4.611176372511849e-11,8.935769173814188e-13,18.970792221546134,0.019378502256131663,0.028644737770321185,48.14887075180078,382.9261881375233,96.99537276693326
0.06541082164328657,108617220360721.44,0.06356629548724858,0.0018445261560379818,0.037998902489867446,0.5797001792191887,1.6705787950966344e-11,4.2076166703473996e-11,8.899973083448214e-13,18.770605028047836,0.021152053004660692,0.029017361195887124,47.70071528726556,373.4042120663282,96.68794835505565
0.06649298597194389,110414196432865.72,0.06459485457656249,0.0018981313953814062,0.041597578173809754,0.5877108947455326,1.646820396651562e-11,3.862542760411315e-11,8.865890562229518e-13,18.57478823015647,0.022953507863005262,0.02938517948254847,47.257254248024516,364.33750077825897,96.38028914360916
0.0675751503006012,112211172505010.0,0.06562298232411629,0.0019521679764849115,0.04528856165106304,0.5956158845713393,1.6238682159299213e-11,3.5649164335779245e-11,8.833444965471041e-13,18.38318144594145,0.02477882758279796,0.029748236171940855,46.81825244862154,355.6965481600812,96.07239503897615
0.06865731462925852,114008148577154.31,0.06665069059132216,0.0020066240379363544,0.049064488012335455,0.6034156357174083,1.601682270719507e-11,3.306212480868953e-11,8.802564290646957e-13,18.19563274784999,0.026624315108548104,0.03010657534278594,46.38348941014026,347.45421771350175,95.76426593298007
0.06973947895791582,115805124649298.6,0.06767799100617156,0.0020614879517442657,0.052918347461727806,0.6111106778744868,1.580225163074371e-11,3.079758593411773e-11,8.773180828387581e-13,18.011998088095943,0.028486586082283175,0.0304602415215942,45.95275822064738,339.5855173336281,95.45590170327765
0.07082164328657314,117602100721442.88,0.0687048949675632,0.0021167483190099516,0.056843470119277824,0.6187015800279861,1.5594618749970726e-11,2.8802696412718008e-11,8.745230844606051e-13,17.83214077143463,0.03036254217068559,0.030809279600955742,45.525864500113116,332.0673986745671,95.14730221373887
0.07190380761523046,119399076793587.17,0.06973141364961664,0.002172393965613819,0.060833511424109386,0.626188947307618,1.539359583119112e-11,2.7035134433236224e-11,8.718654290554728e-13,17.655930970755,0.032249346908503854,0.0311537347647872,45.10262545879885,324.87857808372837,94.83846731481472
0.07298597194388777,121196052865731.45,0.0707575580059629,0.002228413937924869,0.06488243811502041,0.6335734180460112,1.5198874903570312e-11,2.5460671656694686e-11,8.693394537981487e-13,17.483245281421826,0.03414440378950343,0.03149365241995881,44.68286903940731,317.99937649657454,94.5293968438935
0.07406813627254509,122993028937875.75,0.0717833387740039,0.0022847974985411826,0.06898451476665271,0.6408556610316569,1.5010166727633863e-11,2.4051372549910958e-11,8.669398136879368e-13,17.313966310741975,0.03604533636859516,0.031829078133777396,44.26643313442652,311.4115760327834,94.22009062564587
0.0751503006012024,124790005010020.02,0.07280876647499057,0.002341534126211825,0.07313429084368037,0.6480363734618017,1.482719938689634e-11,2.2784246094147112e-11,8.646614591752004e-13,17.147982287819314,0.03794997015052946,0.03216005763558884,43.85316487250478,305.0982908814908,93.91054847248853
0.07623246492985972,126586981082164.31,0.07383385143315864,0.0023986134967010704,0.07732658834766368,0.6551162766561015,1.4649717062967312e-11,2.1640224168243566e-11,8.624996164950852e-13,16.9851867557912,0.039856316172582895,0.03248663655142684,43.44291995915905,299.0438533311437,93.60077018444342
0.07731462925851704,128383957154308.62,0.07485860375934457,0.0024560254991724635,0.0815564898167129,0.6620961164186121,1.4477478806249223e-11,2.0603379017655005e-11,8.604497680337263e-13,16.82547819070568,0.04176255590388393,0.03280886064971361,43.03556208460756,293.2337073848015,93.29075555008613
0.07839679358717434,130180933226452.9,0.07588303336767367,0.0025137602195006692,0.085819326937221,0.6689766593355633,1.4310257513421647e-11,1.9660317708516408e-11,8.585076357388557e-13,16.66875973806085,0.04366702758658725,0.033126775616900105,42.630962369806575,287.6543163578339,92.9805043464606
0.07947895791583166,131977909298597.19,0.07690714997665046,0.0025718079391812035,0.09011066955394233,0.6757586911909904,1.4147838943587664e-11,1.8799709174873713e-11,8.566691651691163e-13,16.51493892720502,0.04556821369950107,0.03344042705992904,42.228998862733036,282.29307782143013,92.6700163394638
