n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.06,99632340000000.0,0.0587458442920453,0.0012541557079546952,2.0259729570090977e-11,7.203011037968468e-11,1.045051912847905e-12,19.38633796179611,0.014508542432313842,0.021348841319223644,0.9820564459435186,0.8884554884158874,5.41749226450741,525.3111316286852,112.2198456223444
0.06108216432865731,101429316072144.28,0.05978156702799554,0.001300597300661776,1.9894725414010743e-11,6.381108491608734e-11,1.0402121304536885e-12,19.125642579589663,0.01630143307893268,0.021755824835650594,0.9816958849677994,0.8867066078104644,5.024698052077814,507.6254175407773,111.98971430132353
0.062164328657314624,103226292144288.56,0.06081654792693126,0.0013477807303833658,1.9543383404294996e-11,5.708118569498948e-11,1.0356370294627066e-12,18.870881253091344,0.018143229101732092,0.022161414554516846,0.9813342556050776,0.8849656829346613,4.6381582667877295,490.88559943333826,111.75981322362598
0.06324649298597194,105023268216432.86,0.06185079401906263,0.001395698966909314,1.9204963895709403e-11,5.14944856079241e-11,1.0313146943025103e-12,18.621827073547067,0.020027672519245615,0.022565578810179135,0.9809715731324092,0.8832326504015054,4.257566643040599,475.0247025297194,111.53014321611772
0.06432865731462925,106820244288577.14,0.0628843123447696,0.0014443449698596559,1.8878779191422673e-11,4.6800789873437443e-11,1.0272339847261176e-12,18.378265781827842,0.021949073669569434,0.02296828757450489,0.9806078528124236,0.8815074474425658,3.88263747847461,459.98157571024706,111.30070507668897
0.06541082164328657,108617220360721.44,0.06391710992414706,0.0014937117191395116,1.856418892002913e-11,4.281538827399888e-11,1.0233844706484431e-12,18.139994745343728,0.023902258321219724,0.023369512809827568,0.9802431098383736,0.8797900119443881,3.5131039409259865,445.70028733557905,111.07149957593833
0.06649298597194389,110414196432865.72,0.06494919376842109,0.0015437922035228015,1.8260596156515043e-11,3.939942335842397e-11,1.0197563784935442e-12,17.906822199524633,0.025882520391647068,0.023769228129717105,0.9798773593544531,0.8780802824237793,3.148716526694923,432.12960549940453,110.84252745696688
0.0675751503006012,112211172505010.0,0.06598057087369086,0.0015945794269103407,1.796744380713546e-11,3.6446814542892546e-11,1.0163405402567482e-12,17.67856647988923,0.027885579384740598,0.024167408765876024,0.9795106164443829,0.8763781980289256,2.789241673001942,419.22253221172434,110.61378943598251
0.06865731462925852,114008148577154.31,0.067011248218046,0.0016460664112125205,1.7684211366133376e-11,3.387534637690754e-11,1.0131283476248226e-12,17.455055331925347,0.029907542091302756,0.024564031487018894,0.9791428961260958,0.8746836985356053,2.434460500703313,406.9358913246047,110.38528620275945
