n_b,rho_b,n_n,n_p,Delta_n,Delta_p,lambda,xi_n,xi_p,kappa,R,epsilon,m_eff_relL_n,m_eff_relL_p,A_nn,A_pp,A_np
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[MeV],[MeV],[cm],[cm],[cm],[],[],[],[],[],[MeV fm**5],[MeV fm**5],[MeV fm**5]
0.0751503006012024,124790005010020.02,0.07291661570809845,0.002233684893103955,0.07357338351910679,0.6342604965169701,1.51809314805618e-11,2.595333757952596e-11,1.1026076628624684e-12,13.768207851150553,0.04248423384791528,0.03063341422819041,0.9006272083940978,0.7694294519160726,43.566868623634306,372.9261660740038,100.4714649928321
0.07623246492985972,126586981082164.31,0.07393639885271842,0.002296066077141294,0.07774820129400178,0.6422934302889581,1.497328815402107e-11,2.4710800749169287e-11,1.1024408262021022e-12,13.58194272032169,0.04461372326184789,0.03105461062169211,0.8992748244897422,0.7669308356808443,43.4191622157078,364.7848973588998,100.41828272004363
0.07731462925851704,128383957154308.62,0.0749555104226078,0.0023591188359092415,0.08195833983160059,0.650232712268708,1.477183556169074e-11,2.3584035716029672e-11,1.1024253588985628e-12,13.399397467098666,0.04674455942030578,0.03147358776704018,0.8979250456301048,0.7644494459526641,43.27464263262155,356.98049871024415,100.3652811017468
0.07839679358717434,130180933226452.9,0.07597395824032634,0.0024228353468480042,0.08619918613631386,0.6580780655390558,1.4576304195079948e-11,2.2558691452991957e-11,1.1025566572552203e-12,13.220458195198052,0.04887502715096484,0.0318903398343932,0.8965778834764542,0.7619850936930614,43.13318267390385,349.4941600894843,100.31245949386165
0.07947895791583166,131977909298597.19,0.07699175005077478,0.002487207865056875,0.0904663683845425,0.6658292599550331,1.4386439788062265e-11,2.1622612310380717e-11,1.1028303698945717e-12,13.045015970531876,0.051003567657045674,0.032304862058812826,0.8952333493273428,0.7595375927093259,42.99466204603204,342.30837424334175,100.25981724855005
0.08056112224448897,133774885370741.45,0.07800889353495585,0.0025522287095331216,0.09475574510347384,0.6734861082425028,1.4202002303101578e-11,2.0765443433258215e-11,1.103242382325858e-12,12.87296656711183,0.05312876586872641,0.03271715049245591,0.8938914541523321,0.7571067595807088,42.85896689610701,335.40683151440834,100.20735371418245
0.08164328657314629,135571861442885.77,0.07902539630625735,0.0026178902668889405,0.09906339472375851,0.6810484644251802,1.402276494710591e-11,1.9978316948127856e-11,1.1037888017099253e-12,12.704210194362055,0.05524933879945077,0.0331272020040683,0.8925522085878597,0.7546924136132579,42.72598938521098,328.7743222780215,100.15506823561257
0.08272545090180361,137368837515030.06,0.08004126591011997,0.0026841849916836484,0.10338560557621666,0.6885162219238145,1.3848513276535756e-11,1.9253600483494337e-11,1.1044659429701364e-12,12.538651250118452,0.05736412490313016,0.033535014235004434,0.8912156229404228,0.7522943767904188,42.595627294796394,322.3966489179819,100.10296015438698
0.08380761523046093,139165813587174.34,0.08105650982378602,0.0027511054066749014,0.10771886630366496,0.6958893117425144,1.367904437375328e-11,1.858469421985919e-11,1.1052703159481381e-12,12.376198090526783,0.059472074324853345,0.03394058555760305,0.8898817071899138,0.749912473724582,42.46778366359011,316.2605459119832,100.051028808949
0.08488977955911824,140962789659318.62,0.08207113545612318,0.0028186441029950556,0.11205985667292645,0.7031677007376639,1.3514166088105584e-11,1.7965866016589125e-11,1.1061986135136818e-12,12.216762815476477,0.06157223996284133,0.034343915035779625,0.8885504709930958,0.7475465316095679,42.34236645228872,310.3536071845531,99.99927353483658
0.08597194388777554,142759765731462.9,0.08308515014751734,0.002886793740258196,0.11640543877249085,0.7103513899651239,1.3353696335904278e-11,1.7392116635265053e-11,1.1072477005466731e-12,12.060261068333,0.06366376926782832,0.034745002387703526,0.8872219236871988,0.74519638017403,42.21928823359535,304.6642199823706,99.94769366487454
