k_F,Delta_p,Delta_n
[1/fm],[MeV],[MeV]
1.32,,0.09335993329661964
1.33,,0.10089920588553293
1.34,,0.10860201712779778
1.35,,0.11645211727439911
1.36,,0.1244333817611097
1.37,,0.1325298541091352
1.3800000000000001,,0.1407257862075617
1.3900000000000001,,0.1490056758682529
1.4000000000000001,,0.15735430157261798
1.41,,0.16575675435731124
1.42,,0.17419846681215614
1.43,,0.18266523918819394
1.44,,0.19114326263656234
1.45,,0.19961913961977298
1.46,,0.2080799015557908
1.47,,0.21651302377206938
1.48,,0.22490643786134232
1.49,,0.23324854154353045
1.5,,0.24152820614864187
1.51,,0.2497347818440803
1.52,,0.2578581007364305
1.53,,0.2658884779826659
1.54,,0.27381671104893146
1.55,,0.2816340772567425
1.56,,0.2893323297567231
1.57,,0.29690369206903927
1.58,,0.30434085132760225
1.59,,0.3116369503620505
1.6,,0.3187855787476281
1.61,,0.32578076294845726
1.62,,0.33261695567451727
1.6300000000000001,,0.339289024566969
1.6400000000000001,,0.3457922403204487
1.6500000000000001,,0.35212226434466126
1.6600000000000001,,0.3582751360611583
1.67,,0.3642472599246368
1.68,,0.37003539225154614
1.69,,0.3756366279322716
1.7,,0.38104838709677424
1.71,,0.3862684017973008
1.72,,0.3912947027657246
1.73,,0.3961256062972351
1.74,,0.4007597013065077
1.75,,0.4051958365971635
1.76,,0.4094331083802884
1.77,,0.4134708480730425
1.78,,0.41730861040393813
1.79,,0.4209461618472196
1.8,,0.4243834694049323
1.81,,0.4276206897517055
1.82,,0.4306581587540129
1.83,,0.433496381372678
1.84,,0.43613602195467144
1.85,,0.4385778949177792
1.86,,0.44082295582950254
1.87,,0.4428722928795522
1.8800000000000001,,0.44472711874353454
1.8900000000000001,,0.4463887628338557
1.9000000000000001,,0.4478586639324869
1.9100000000000001,,0.4491383631990452
1.92,,0.45022949754659575
1.93,,0.45113379337670634
1.94,,0.4518530606645307
1.95,,0.452389187384089
1.96,,0.4527441342633952
1.97,,0.4529199298587002
1.98,,0.4529186659367961
1.99,,0.45274249315412485
2.0,,0.4523936170212766
2.0100000000000002,,0.45187429414139524
2.02,,0.4511868287109852
2.0300000000000002,,0.45033356927165324
2.04,,0.44931690570139554
2.05,,0.4481392664341612
2.06,,0.44680311589657756
2.07,,0.4453109521509038
2.08,,0.44366530473348476
2.09,,0.4418687326782053
2.1,,0.43992382271468145
2.11,,0.4378331876311901
2.12,,0.43559946479258743
2.13,,0.43322531480375476
2.14,,0.4307134203093693
2.15,,0.4280664849210917
2.16,,0.4252872322635251
2.17,,0.42237840513059194
2.18,,0.41934276474424115
2.19,,0.4161830901076771
2.2,,0.4129021774455639
2.21,,0.4095028397239264
2.22,,0.40598790624272413
2.23,,0.4023602222943264
2.24,,0.3986226488813586
2.25,,0.3947780624876336
2.2600000000000002,,0.3908293548961025
2.27,,0.38677943304799645
2.2800000000000002,,0.3826312189375319
2.29,,0.3783876495367769
2.3000000000000003,,0.3740516767454645
2.31,,0.36962626736074883
2.32,,0.3651144030620758
2.33,,0.36051908040653713
2.34,,0.3558433108302444
2.35,,0.35109012065143447
2.36,,0.3462625510711917
2.37,,0.34136365816782127
2.38,,0.3363965128810833
2.39,,0.3313642009826345
2.4,,0.32626982302918883
2.41,,0.32111649429504696
2.42,,0.31590734468079557
2.43,,0.3106455185951145
2.44,,0.3053341748067769
2.45,,0.2999764862640593
2.46,,0.2945756398789252
2.47,,0.28913483627347397
2.48,,0.2836572894862938
2.49,,0.2781462266364826
2.5,,0.27260488754325274
2.5100000000000002,,0.2670365242991562
2.52,,0.2614444007951223
2.5300000000000002,,0.2558317921956252
2.54,,0.25020198436245206
2.5500000000000003,,0.24455827322567347
2.56,,0.2389039641005748
2.57,,0.23324237094943934
2.58,,0.22757681558723644
2.59,,0.22191062683040788
2.6,,0.21624713958810077
2.61,,0.21058969389535573
2.62,,0.20494163388790498
2.63,,0.19930630671840693
