n_b,rho_b,n_n,n_p,lambda,xi_n,xi_p,kappa,R,epsilon
[1/fm**3],[g/cm**3],[1/fm**3],[1/fm**3],[cm],[cm],[cm],[],[],[]
0.06,99632340000000.0,0.058616194433659306,0.0013838055663406938,1.928731782162538e-11,7.187891418429647e-11,9.122800009497387e-13,21.1418838531439,0.012691900139318554,0.023607905284722272
0.06108216432865731,101429316072144.28,0.059646956513010274,0.0014352078156470377,1.893877908680054e-11,6.36066136695728e-11,9.065275636808254e-13,20.891564521107707,0.014252095990994043,0.024061710765309347
0.062164328657314624,103226292144288.56,0.0606769065955801,0.001487422061734525,1.8603397432974804e-11,5.6840548622592475e-11,9.010305757034615e-13,20.64679927032507,0.01585189794148693,0.024513808385921796
0.06324649298597194,105023268216432.86,0.06170605327160399,0.001540439714367953,1.8280455803884368e-11,5.1229234598151967e-11,8.95777125426698e-13,20.40737063382433,0.01748566287303094,0.024964158825514053
0.06432865731462925,106820244288577.14,0.06273440512364534,0.0015942521909839162,1.7969287709710237e-11,4.651885854170331e-11,8.907560733027675e-13,20.173073469017467,0.019148278810500498,0.02541272508827893
0.06541082164328657,108617220360721.44,0.06376197071560645,0.001648850927680114,1.766927284622111e-11,4.252230004181477e-11,8.859569895731015e-13,19.943714033719687,0.020835114485855327,0.025859472490810883
0.06649298597194389,110414196432865.72,0.06478875858857858,0.001704227383365318,1.7379833195583873e-11,3.9099064335425224e-11,8.813700985867363e-13,19.719109172698477,0.02254197417681379,0.02630436854312179
0.0675751503006012,112211172505010.0,0.0658147772570122,0.001760373043589005,1.7100429513380587e-11,3.6141939481874427e-11,8.76986228306081e-13,19.49908557447984,0.02426505718504396,0.026747382836450263
0.06865731462925852,114008148577154.31,0.06684003520518647,0.0018172794240720498,1.6830558158111377e-11,3.356791670340841e-11,8.727967644428921e-13,19.283479091325866,0.026000921420133005,0.027188486937407202
0.06973947895791582,115805124649298.6,0.06786454088395744,0.0018749380739583907,1.6569748225011642e-11,3.1311882752090714e-11,8.687936087348689e-13,19.072134116111183,0.02774645062430361,0.02762765428803791
0.07082164328657314,117602100721442.88,0.06888830270776691,0.0019333405788062345,1.6317558950782874e-11,2.932215591179528e-11,8.64969140931681e-13,18.86490301053608,0.029498824831762593,0.0280648601114142
0.07190380761523046,119399076793587.17,0.0699113290518945,0.0019924785633359653,1.607357735994905e-11,2.7557273360590782e-11,8.613161841099951e-13,18.661645579733307,0.03125549370721668,0.028500081322398663
0.07298597194388777,121196052865731.45,0.07093362824993685,0.0020523436939509252,1.5837416127102245e-11,2.5983643658124008e-11,8.578279729810874e-13,18.462228588868147,0.03301415245174363,0.028933296443252956
0.07406813627254509,122993028937875.75,0.07195520859149912,0.002112927681045968,1.560871163237807e-11,2.4573807422769826e-11,8.544981248930629e-13,18.266525317807382,0.03477272000191937,0.029364485523784473
0.0751503006012024,124790005010020.02,0.07297607832008458,0.002174222281117808,1.5387122190170478e-11,2.3305132152069503e-11,8.513206132632088e-13,18.074415150350802,0.03652931928075814,0.029793630065750122
0.07623246492985972,126586981082164.31,0.07399624563116952,0.002236219298690198,1.5172326433417638e-11,2.2158821318188683e-11,8.482897432053555e-13,17.885783194887335,0.03828225928736794,0.030220712951255904
0.07731462925851704,128383957154308.62,0.07501571867045094,0.002298910588066101,1.4964021837813816e-11,2.111915391765956e-11,8.45400129142827e-13,17.700519933662918,0.040030018836877485,0.03064571837490978
0.07839679358717434,130180933226452.9,0.07603450552729805,0.002362288059876286,1.4761923356577947e-11,2.0172895038565807e-11,8.426466740110354e-13,17.518520884097885,0.04177123176421105,0.031068631846736645
0.07947895791583166,131977909298597.19,0.07705261425101019,0.0024263436648214766,1.456576224059721e-11,1.930883471761472e-11,8.400245510647673e-13,17.339686348612645,0.04350467355228044,0.031489439889960204
